Event Head; Event Num = 17
Packet Head; Packet Num = 0
Frame = 0; Sample 1 = 4043; Sample 2 = 2888
Frame = 1; Sample 1 = 4059; Sample 2 = 2888
Frame = 2; Sample 1 = 4075; Sample 2 = 2888
Frame = 3; Sample 1 = 4091; Sample 2 = 2888
Frame = 4; Sample 1 = 11; Sample 2 = 2888
Frame = 5; Sample 1 = 27; Sample 2 = 2888
Frame = 6; Sample 1 = 43; Sample 2 = 2888
Frame = 7; Sample 1 = 59; Sample 2 = 2888
Frame = 8; Sample 1 = 75; Sample 2 = 2888
Frame = 9; Sample 1 = 91; Sample 2 = 2889
Frame = 10; Sample 1 = 107; Sample 2 = 2889
Frame = 11; Sample 1 = 123; Sample 2 = 2889
Frame = 12; Sample 1 = 139; Sample 2 = 2889
Frame = 13; Sample 1 = 155; Sample 2 = 2889
Frame = 14; Sample 1 = 171; Sample 2 = 2889
Frame = 15; Sample 1 = 187; Sample 2 = 2889
Frame = 16; Sample 1 = 203; Sample 2 = 2889
Frame = 17; Sample 1 = 219; Sample 2 = 2889
Frame = 18; Sample 1 = 235; Sample 2 = 2889
Frame = 19; Sample 1 = 251; Sample 2 = 2889
Packet Tail; Frames Count = 20
Packet Head; Packet Num = 1
Frame = 0; Sample 1 = 267; Sample 2 = 2889
Frame = 1; Sample 1 = 283; Sample 2 = 2889
Frame = 2; Sample 1 = 299; Sample 2 = 2889
Frame = 3; Sample 1 = 315; Sample 2 = 2889
Frame = 4; Sample 1 = 331; Sample 2 = 2889
Frame = 5; Sample 1 = 347; Sample 2 = 2890
Frame = 6; Sample 1 = 363; Sample 2 = 2890
Frame = 7; Sample 1 = 379; Sample 2 = 2890
Frame = 8; Sample 1 = 395; Sample 2 = 2890
Frame = 9; Sample 1 = 411; Sample 2 = 2890
Frame = 10; Sample 1 = 427; Sample 2 = 2890
Frame = 11; Sample 1 = 443; Sample 2 = 2890
Frame = 12; Sample 1 = 459; Sample 2 = 2890
Frame = 13; Sample 1 = 475; Sample 2 = 2890
Frame = 14; Sample 1 = 491; Sample 2 = 2890
Frame = 15; Sample 1 = 507; Sample 2 = 2890
Frame = 16; Sample 1 = 523; Sample 2 = 2890
Frame = 17; Sample 1 = 539; Sample 2 = 2890
Frame = 18; Sample 1 = 555; Sample 2 = 2890
Frame = 19; Sample 1 = 571; Sample 2 = 2890
Packet Tail; Frames Count = 20
Packet Head; Packet Num = 2
Frame = 0; Sample 1 = 587; Sample 2 = 2890
Frame = 1; Sample 1 = 603; Sample 2 = 2891
Frame = 2; Sample 1 = 619; Sample 2 = 2891
Frame = 3; Sample 1 = 635; Sample 2 = 2891
Frame = 4; Sample 1 = 651; Sample 2 = 2891
Frame = 5; Sample 1 = 667; Sample 2 = 2891
Frame = 6; Sample 1 = 683; Sample 2 = 2891
Frame = 7; Sample 1 = 699; Sample 2 = 2891
Frame = 8; Sample 1 = 715; Sample 2 = 2891
Frame = 9; Sample 1 = 731; Sample 2 = 2891
Frame = 10; Sample 1 = 747; Sample 2 = 2891
Frame = 11; Sample 1 = 763; Sample 2 = 2891
Frame = 12; Sample 1 = 779; Sample 2 = 2891
Frame = 13; Sample 1 = 795; Sample 2 = 2891
Frame = 14; Sample 1 = 811; Sample 2 = 2891
Frame = 15; Sample 1 = 827; Sample 2 = 2891
Frame = 16; Sample 1 = 843; Sample 2 = 2891
Frame = 17; Sample 1 = 859; Sample 2 = 2892
Frame = 18; Sample 1 = 875; Sample 2 = 2892
Frame = 19; Sample 1 = 891; Sample 2 = 2892
Packet Tail; Frames Count = 20
Packet Head; Packet Num = 3
Frame = 0; Sample 1 = 907; Sample 2 = 2892
Frame = 1; Sample 1 = 923; Sample 2 = 2892
Frame = 2; Sample 1 = 939; Sample 2 = 2892
Frame = 3; Sample 1 = 955; Sample 2 = 2892
Frame = 4; Sample 1 = 971; Sample 2 = 2892
Frame = 5; Sample 1 = 987; Sample 2 = 2892
Frame = 6; Sample 1 = 1003; Sample 2 = 2892
Frame = 7; Sample 1 = 1019; Sample 2 = 2892
Frame = 8; Sample 1 = 1035; Sample 2 = 2892
Frame = 9; Sample 1 = 1051; Sample 2 = 2892
Frame = 10; Sample 1 = 1067; Sample 2 = 2892
Frame = 11; Sample 1 = 1083; Sample 2 = 2892
Frame = 12; Sample 1 = 1099; Sample 2 = 2892
Frame = 13; Sample 1 = 1115; Sample 2 = 2893
Frame = 14; Sample 1 = 1131; Sample 2 = 2893
Frame = 15; Sample 1 = 1147; Sample 2 = 2893
Frame = 16; Sample 1 = 1163; Sample 2 = 2893
Frame = 17; Sample 1 = 1179; Sample 2 = 2893
Frame = 18; Sample 1 = 1195; Sample 2 = 2893
Frame = 19; Sample 1 = 1211; Sample 2 = 2893
Packet Tail; Frames Count = 20
Packet Head; Packet Num = 4
Frame = 0; Sample 1 = 1227; Sample 2 = 2893
Frame = 1; Sample 1 = 1243; Sample 2 = 2893
Frame = 2; Sample 1 = 1259; Sample 2 = 2893
Frame = 3; Sample 1 = 1275; Sample 2 = 2893
Frame = 4; Sample 1 = 1291; Sample 2 = 2893
Frame = 5; Sample 1 = 1307; Sample 2 = 2893
Frame = 6; Sample 1 = 1323; Sample 2 = 2893
Frame = 7; Sample 1 = 1339; Sample 2 = 2893
