Event Head; Event Num = 1
Packet Head; Packet Num = 0
Frame = 0; Sample 1 = 0; Sample 2 = 1
Frame = 1; Sample 1 = 2; Sample 2 = 3
Frame = 2; Sample 1 = 4; Sample 2 = 5
Frame = 3; Sample 1 = 6; Sample 2 = 7
Frame = 4; Sample 1 = 8; Sample 2 = 9
Frame = 5; Sample 1 = 10; Sample 2 = 11
Frame = 6; Sample 1 = 12; Sample 2 = 13
Frame = 7; Sample 1 = 14; Sample 2 = 15
Frame = 8; Sample 1 = 16; Sample 2 = 17
Frame = 9; Sample 1 = 18; Sample 2 = 19
Frame = 10; Sample 1 = 20; Sample 2 = 21
Frame = 11; Sample 1 = 22; Sample 2 = 23
Frame = 12; Sample 1 = 24; Sample 2 = 25
Frame = 13; Sample 1 = 26; Sample 2 = 27
Frame = 14; Sample 1 = 28; Sample 2 = 29
Frame = 15; Sample 1 = 30; Sample 2 = 31
Frame = 16; Sample 1 = 32; Sample 2 = 33
Frame = 17; Sample 1 = 34; Sample 2 = 35
Frame = 18; Sample 1 = 36; Sample 2 = 37
Frame = 19; Sample 1 = 38; Sample 2 = 39
Packet Tail; Frames Count = 20
Packet Head; Packet Num = 1
Frame = 0; Sample 1 = 40; Sample 2 = 41
Frame = 1; Sample 1 = 42; Sample 2 = 43
Frame = 2; Sample 1 = 44; Sample 2 = 45
Frame = 3; Sample 1 = 46; Sample 2 = 47
Frame = 4; Sample 1 = 48; Sample 2 = 49
Frame = 5; Sample 1 = 50; Sample 2 = 51
Frame = 6; Sample 1 = 52; Sample 2 = 53
Frame = 7; Sample 1 = 54; Sample 2 = 55
Frame = 8; Sample 1 = 56; Sample 2 = 57
Frame = 9; Sample 1 = 58; Sample 2 = 59
Frame = 10; Sample 1 = 60; Sample 2 = 61
Frame = 11; Sample 1 = 62; Sample 2 = 63
Frame = 12; Sample 1 = 64; Sample 2 = 65
Frame = 13; Sample 1 = 66; Sample 2 = 67
Frame = 14; Sample 1 = 68; Sample 2 = 69
Frame = 15; Sample 1 = 70; Sample 2 = 71
Frame = 16; Sample 1 = 72; Sample 2 = 73
Frame = 17; Sample 1 = 74; Sample 2 = 75
